fieldwork_date,sample_size,margin_of_error,polling_firm,lee_pct,kim_pct,Lee Jun-seok,Kwon Yeong-guk,Song Jin-ho,Hwang Kyo-ahn,Koo Joo-wa,Others,Und./ no ans.,lead_pct
13–14 May 2025,1005.0,±3.1,Realmeter / Media Tribune[71],51.9,33.1,6.6,0.6,0.4,1.7,0.8,—N/a,4.9,18.8
13–14 May 2025,1002.0,±3.1,Hangil Research / Polinews[72],47.4,39.2,7.1,0.8,—N/a,—N/a,—N/a,1.3,4.1,8.2
12–14 May 2025,1000.0,±3.1,NBS[73][a],49.0,27.0,7,—N/a,—N/a,—N/a,—N/a,—N/a,16,22
13 May 2025,1004.0,±3.1,KOPRA / Asia Today[74],47.0,39.0,8,1,—N/a,1,—N/a,—N/a,4,8
12–13 May 2025,3000.0,±1.8,Hankook Researach / Hankook Ilbo[75],40.0,21.0,6,—N/a,—N/a,—N/a,—N/a,1,32,19
12–13 May 2025,1009.0,±3.1,Metavoice / OhmyNews[76],47.5,36.1,8.7,0.4,1.1,1.6,0.6,0.3,3.8,11.4
12–13 May 2025,2004.0,±2.2,Flower Research[77],52.0,28.4,7.4,—N/a,—N/a,—N/a,—N/a,0.8,11.5,23.6
12–13 May 2025,1033.0,±3.0,Media Tomato / News Tomato[78],52.3,35.9,6.7,—N/a,—N/a,—N/a,—N/a,1.2,3.9,16.4
12–13 May 2025,1000.0,±3.1,Media Research / Newspim[79],51.6,35.5,7.2,—N/a,—N/a,—N/a,—N/a,2.6,3.2,16.1
12–13 May 2025,1002.0,±3.1,KIR / Cheonjiilbo[80],50.5,30.8,8.1,—N/a,—N/a,—N/a,—N/a,4.7,5.8,19.7
12–13 May 2025,1002.0,±3.1,Gallup Korea[81],51.0,31.0,8,—N/a,—N/a,—N/a,—N/a,—N/a,9.0,20
12–13 May 2025,1009.0,±3.1,Gongjung / PennMike[82],50.0,35.0,8.2,0.6,0.4,1.4,0.7,—N/a,3.7,15
12 May 2025,1000.0,±3.1,Every Research[83],47.1,36.7,7.5,1.0,—N/a,—N/a,1.6,0.8,5.2,10.4
11–12 May 2025,1513.0,±2.5,Hangil Research / Global Economic[84][85],49.5,38.2,5.7,—N/a,—N/a,—N/a,—N/a,1.5,5.0,11.3
11–12 May 2025,1003.0,±3.1,Embrain Public / YTN[86],46.0,33.0,7,—N/a,—N/a,—N/a,—N/a,—N/a,13,13
